embed_dim,hidden_dims,lr,config
128,1,0.0005,embeddim128_hiddendims1_lr5e-4
128,1,0.001,embeddim128_hiddendims1_lr1e-3
128,2,0.0005,embeddim128_hiddendims2_lr5e-4
128,2,0.001,embeddim128_hiddendims2_lr1e-3
128,3,0.0005,embeddim128_hiddendims3_lr5e-4
128,3,0.001,embeddim128_hiddendims3_lr1e-3
256,1,0.0005,embeddim256_hiddendims1_lr5e-4
256,1,0.001,embeddim256_hiddendims1_lr1e-3
256,2,0.0005,embeddim256_hiddendims2_lr5e-4
256,2,0.001,embeddim256_hiddendims2_lr1e-3
256,3,0.0005,embeddim256_hiddendims3_lr5e-4
256,3,0.001,embeddim256_hiddendims3_lr1e-3
